year,scenario,scenario_label,nuts3,slr_m,flood_area_km2,flooded_pixels,gdp_at_risk_bn,buildings_count,buildings_value_bn,storeys
2100,ssp126,SSP1-2.6 (Low),Região de Leiria,0.4,0.0044440794,6,1.1662e-05,0.4,0.000176785,2.0
2100,ssp126,SSP1-2.6 (Low),Terras de Trás-os-Montes,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Tâmega e Sousa,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Viseu Dão Lafões,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Área Metropolitana do Porto,0.4,0.0644391513,87,0.001218608,32.2,0.025633895,4.0
2025,ssp245,SSP2-4.5 (Intermediate),Alentejo Central,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Alentejo Litoral,0.05,1.2058268772,1628,0.000722883,36.2,0.010792754,1.5
2025,ssp245,SSP2-4.5 (Intermediate),Algarve,0.05,0.8688175227,1173,0.002137642,173.8,0.103684684,3.0
2025,ssp245,SSP2-4.5 (Intermediate),Alto Alentejo,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Alto Minho,0.05,0.0170356377,23,3.0617e-05,1.0,0.000304955,1.5
2025,ssp245,SSP2-4.5 (Intermediate),Alto Tâmega e Barroso,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Ave,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Baixo Alentejo,0.05,0.0,0,0.0,0.0,0.0,1.5
2025,ssp245,SSP2-4.5 (Intermediate),Beira Baixa,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Beiras e Serra da Estrela,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Cávado,0.05,0.0,0,0.0,0.0,0.0,2.5
2025,ssp245,SSP2-4.5 (Intermediate),Douro,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Grande Lisboa,0.05,1.2487863114,1686,0.068124759,999.0,0.993534397,5.0
2025,ssp245,SSP2-4.5 (Intermediate),Lezíria do Tejo,0.05,0.1740597765,235,0.000186281,7.0,0.002077229,1.5
2025,ssp245,SSP2-4.5 (Intermediate),Médio Tejo,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Oeste,0.05,0.0422187543,57,0.000123189,5.1,0.002519193,2.5
2025,ssp245,SSP2-4.5 (Intermediate),Península de Setúbal,0.05,0.3214550766,434,0.002624874,128.6,0.076724898,3.0
2025,ssp245,SSP2-4.5 (Intermediate),Região de Aveiro,0.05,1.9198423008,2592,0.009646643,480.0,0.238660398,2.5
2025,ssp245,SSP2-4.5 (Intermediate),Região de Coimbra,0.05,1.7731876806,2394,0.003678213,141.9,0.070537406,2.5
2025,ssp245,SSP2-4.5 (Intermediate),Região de Leiria,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Terras de Trás-os-Montes,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Tâmega e Sousa,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Viseu Dão Lafões,0.05,0.0,0,0.0,0.0,0.0,2.0
2025,ssp245,SSP2-4.5 (Intermediate),Área Metropolitana do Porto,0.05,0.014813598,20,0.00028014,7.4,0.005892849,4.0
2030,ssp245,SSP2-4.5 (Intermediate),Alentejo Central,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Alentejo Litoral,0.1,2.5360879776000003,3424,0.001520363,76.1,0.022699256,1.5
2030,ssp245,SSP2-4.5 (Intermediate),Algarve,0.1,1.8176284746,2454,0.004472101,363.5,0.216915784,3.0
2030,ssp245,SSP2-4.5 (Intermediate),Alto Alentejo,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Alto Minho,0.1,0.0348119553,47,6.2564e-05,2.1,0.000623169,1.5
2030,ssp245,SSP2-4.5 (Intermediate),Alto Tâmega e Barroso,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Ave,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Baixo Alentejo,0.1,0.0,0,0.0,0.0,0.0,1.5
2030,ssp245,SSP2-4.5 (Intermediate),Beira Baixa,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Beiras e Serra da Estrela,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Cávado,0.1,0.0014813598,2,9.657e-06,0.3,0.000147321,2.5
2030,ssp245,SSP2-4.5 (Intermediate),Douro,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Grande Lisboa,0.1,2.7242206722,3678,0.148613797,2179.4,2.167389983,5.0
2030,ssp245,SSP2-4.5 (Intermediate),Lezíria do Tejo,0.1,0.46514697720000003,628,0.000497807,18.6,0.005551064,1.5
2030,ssp245,SSP2-4.5 (Intermediate),Médio Tejo,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Oeste,0.1,0.0881409081,119,0.000257183,10.6,0.005259368,2.5
2030,ssp245,SSP2-4.5 (Intermediate),Península de Setúbal,0.1,0.7080899844,956,0.00578198,283.2,0.169006919,3.0
2030,ssp245,SSP2-4.5 (Intermediate),Região de Aveiro,0.1,4.0744801299,5501,0.020473064,1018.6,0.506508815,2.5
