feature,feature_label,sub_type,type_label,elev,length_km,value_eur,value_m_eur,mid_lat,mid_lon,start_lat,start_lon,end_lat,end_lon
road,Road,unclassified,Unclassified,0.624876856803894,1.5795,181643.66561907943,0.18,37.399917,-7.794266,37.395789,-7.787845,37.403802,-7.800324
road,Road,primary,Primary,1.0056756734848022,1.0271,2054238.8993786068,2.05,40.843286,-8.663191,40.84571,-8.662481,40.836596,-8.664175
road,Road,residential,Residential,1.0,0.0382,4395.414098750999,0.0,37.955975,-8.862141,37.955883,-8.862412,37.956024,-8.862014
road,Road,residential,Residential,1.0,0.0699,8036.886699624838,0.01,37.955723,-8.842466,37.955976,-8.842248,37.9555,-8.842739
road,Road,tertiary,Tertiary,0.6206332445144653,1.76,352007.1354454471,0.35,40.57312,-8.756276,40.579014,-8.754872,40.563343,-8.757275
road,Road,residential,Residential,0.7252801060676575,0.4679,53806.74384258649,0.05,39.656528,-8.857515,39.653743,-8.855728,39.657262,-8.858381
road,Road,unclassified,Unclassified,0.7874095439910889,0.0324,3726.465610760158,0.0,37.096626,-8.052088,37.096887,-8.052251,37.096626,-8.052088
road,Road,unclassified,Unclassified,0.7874095439910889,0.0188,2161.7050376339794,0.0,38.085601,-8.172971,38.085711,-8.172807,38.085601,-8.172971
road,Road,tertiary,Tertiary,0.6903483867645264,0.1471,29413.139780940728,0.03,39.419563,-8.681708,39.418538,-8.681474,39.419833,-8.681812
road,Road,residential,Residential,1.0476796627044678,0.7296,83906.59403474572,0.08,39.750998,-8.853772,39.754152,-8.853537,39.751375,-8.850378
road,Road,secondary,Secondary,0.6220212578773499,3.0209,1510434.6509543653,1.51,40.785942,-8.669392,40.761857,-8.664355,40.788406,-8.670662
road,Road,unclassified,Unclassified,0.4576544165611267,0.3508,40342.443719890085,0.04,39.84672,-8.584018,39.845804,-8.585437,39.847295,-8.582157
road,Road,primary,Primary,0.8966415524482727,6.0934,12186759.415310193,12.19,40.691379,-8.720333,40.716436,-8.702497,40.668315,-8.726536
road,Road,unclassified,Unclassified,0.3811208605766296,0.2081,23926.95887490373,0.02,39.987616,-8.498574,39.98783,-8.497856,39.987027,-8.500049
road,Road,unclassified,Unclassified,0.3858174085617065,0.3114,35809.75873292633,0.04,37.160979,-8.147435,37.16147,-8.148387,37.160684,-8.145498
road,Road,primary,Primary,0.9363256692886353,0.0464,92768.98423914882,0.09,38.056271,-7.999149,38.056218,-7.99885,38.056321,-7.999364
road,Road,tertiary,Tertiary,0.3450150787830353,0.0251,5010.516170579132,0.01,37.966188,-8.870273,37.966334,-8.870055,37.966188,-8.870273
road,Road,primary,Primary,0.9363256692886353,0.2819,563832.7590039578,0.56,40.609334,-8.673884,40.610108,-8.673293,40.607711,-8.674035
road,Road,residential,Residential,1.0,0.1426,16401.325017694722,0.02,38.021163,-8.70184,38.021361,-8.701812,38.020517,-8.7008
road,Road,residential,Residential,1.0,0.0204,2341.46135291997,0.0,37.747809,-7.914706,37.747906,-7.91451,37.747809,-7.914706
road,Road,residential,Residential,1.0,0.0789,9068.308224972368,0.01,37.514999,-8.174398,37.514614,-8.173647,37.514999,-8.174398
road,Road,unclassified,Unclassified,0.4926042556762695,0.0295,3392.7153362569575,0.0,38.261923,-8.678282,38.26198,-8.678202,38.261788,-8.678435
road,Road,residential,Residential,1.0,0.1851,21286.653114273173,0.02,37.751202,-8.412925,37.751972,-8.412437,37.750765,-8.413514
road,Road,residential,Residential,0.7702403664588928,0.1411,16229.089075099731,0.02,38.058214,-8.112208,38.058975,-8.112126,38.057712,-8.112278
road,Road,residential,Residential,1.0261107683181765,0.2629,30235.48563045444,0.03,40.207588,-8.402276,40.207573,-8.400767,40.207605,-8.403862
railway,Railway,rail,Rail,0.9308883547782898,0.146,730132.9368504967,0.73,39.462552,-8.476913,39.462856,-8.476389,39.462037,-8.477717
road,Road,residential,Residential,0.6640852093696594,0.1599,18385.777063431786,0.02,37.616695,-7.955248,37.61685,-7.954682,37.616549,-7.954369
road,Road,secondary,Secondary,0.6098771691322327,0.1173,58656.28814381086,0.06,37.147954,-8.547077,37.148143,-8.546726,37.148143,-8.546726
road,Road,residential,Residential,0.8021320104598999,0.0622,7149.086408062459,0.01,38.19235,-8.55455,38.191927,-8.555017,38.19235,-8.55455
road,Road,residential,Residential,0.9439648985862732,0.1139,13100.758511761856,0.01,37.729571,-8.777008,37.730015,-8.777757,37.729783,-8.77679
road,Road,unclassified,Unclassified,0.3507612645626068,0.0532,6116.0743657449375,0.01,37.72695,-8.791814,37.727219,-8.791928,37.726845,-8.791608
road,Road,residential,Residential,0.4716006517410278,0.7199,82786.54028425828,0.08,39.140308,-9.236345,39.141456,-9.233637,39.140965,-9.235033
