year_decimal,sea_level_m,flag
1974.375,6.946,0
1974.4583,7.006,0
1974.5417,6.972,2
1974.625,6.941,0
1974.7083,6.933,0
1974.7917,6.907,0
1974.875,6.928,0
1974.9583,6.889,0
1975.0417,6.903,0
1975.125,6.96,0
1975.2083,6.956,0
1975.2917,6.91,0
1975.375,6.956,0
1975.4583,6.959,0
1975.5417,6.963,0
1975.625,6.982,0
1975.7083,6.955,0
1975.7917,6.972,0
1975.875,6.968,0
1975.9583,7.012,0
1976.0417,6.907,0
1976.125,6.935,0
1976.2083,6.934,0
1976.2917,6.978,0
1976.375,6.928,0
1976.4583,6.971,0
1976.5417,6.966,0
1976.625,7.006,0
1976.7083,7.0,0
1976.7917,7.015,0
1976.875,6.942,0
1976.9583,7.058,0
1977.0417,7.022,0
1977.125,6.986,0
1977.2083,6.959,0
1977.2917,6.913,0
1977.375,6.918,0
1977.4583,6.929,99
1977.5417,6.927,99
1977.625,6.919,0
1977.7083,6.989,0
1977.7917,7.06,99
1977.875,6.981,0
1977.9583,7.057,0
1978.0417,6.936,99
1978.125,7.024,0
1978.2083,6.853,0
1978.2917,6.95,0
1978.375,6.95,0
1978.4583,6.959,0
1978.5417,6.947,0
1978.625,6.96,0
1978.7083,7.009,0
1978.7917,7.048,0
1978.875,7.002,0
1978.9583,7.073,99
1979.0417,7.11,0
1979.125,7.015,0
1979.2083,6.95,0
1979.2917,6.951,0
1979.375,6.935,0
1979.4583,6.991,0
1979.5417,7.016,0
1979.625,6.996,0
1979.7083,6.984,99
1979.7917,7.09,0
1979.875,6.955,0
1979.9583,6.943,0
1980.0417,6.986,0
1980.125,6.938,0
1980.2083,6.96,0
1980.2917,7.028,0
1980.375,7.016,13
1980.4583,6.951,0
1980.5417,6.964,0
1980.625,6.969,0
1980.7083,7.007,0
1980.7917,7.031,0
1980.875,7.057,0
1980.9583,6.879,0
1981.0417,6.866,1
1981.125,6.924,0
1981.2083,6.952,0
1981.2917,6.974,0
1981.375,6.979,12
1981.4583,7.008,0
1981.5417,6.962,0
1981.625,7.011,0
1981.7083,7.001,0
1981.7917,7.015,0
1981.875,7.033,0
1981.9583,7.031,1
1982.0417,7.007,1
1982.125,6.98,0
1982.2083,6.908,0
1982.2917,7.054,0
1982.375,6.937,0
1982.4583,6.936,0
1982.5417,6.969,11
1982.625,6.981,0
1982.7083,7.057,0
1982.7917,6.976,0
1982.875,7.041,5
1983.0417,6.869,1
1983.125,7.0,0
1983.2083,6.964,0
1983.2917,7.012,0
1983.375,6.988,5
1983.4583,6.977,0
1983.5417,6.972,0
1983.625,6.947,0
1983.7917,7.031,0
1983.875,7.185,0
1984.0417,6.871,5
1984.125,6.883,0
1984.2083,7.014,0
1984.2917,7.036,0
1984.375,6.989,0
1984.4583,6.97,0
1984.5417,6.952,0
1984.625,6.955,0
1984.7083,7.012,0
1984.7917,7.0,0
1984.875,7.091,0
1984.9583,6.995,1
1985.0417,7.071,1
1985.125,7.061,5
1985.2083,6.941,2
1985.2917,7.015,0
1985.375,7.033,0
1985.4583,7.017,10
1985.5417,6.997,0
1985.7083,7.009,2
1985.7917,7.041,2
1985.875,7.086,0
1985.9583,7.003,1
1986.0417,6.89,3
1986.125,7.034,1
1986.2083,6.873,8
1986.2917,6.986,0
1986.375,6.951,6
1986.4583,7.005,3
1986.5417,7.01,0
1986.625,6.975,2
1986.7083,7.025,11
1986.7917,7.029,2
1986.875,6.936,2
1986.9583,6.919,3
1987.0417,7.016,5
1987.125,6.984,14
1987.2083,6.994,12
1987.2917,7.004,0
1987.375,7.006,0
1987.4583,6.932,8
1987.625,7.021,2
1987.7083,7.046,3
1987.7917,7.063,5
1987.875,7.032,7
1987.9583,7.071,13
1988.0417,6.944,11
1988.125,6.981,4
1988.2083,6.93,4
1988.2917,6.989,11
1988.375,6.991,4
1988.4583,7.033,3
1988.5417,6.972,4
1988.625,6.99,2
1988.7083,7.035,4
1988.7917,7.108,5
1988.875,7.19,1
1988.9583,6.973,5
1989.0417,6.952,7
1989.125,6.914,3
1989.2083,6.923,5
