year,scenario,slr_m,nuts3,flooded_pixels,total_pixels,fraction_flooded,gdp_2022_eur,gdp_at_risk_eur
2036,ssp126,0.109,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2036,ssp126,0.109,Alto Minho,59,3118798,1.892e-05,4151610000.0,78538.0
2036,ssp126,0.109,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2036,ssp126,0.109,Ave,0,2028246,0.0,8045336000.0,0.0
2036,ssp126,0.109,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2036,ssp126,0.109,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2036,ssp126,0.109,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2036,ssp126,0.109,Cávado,2,1744158,1.15e-06,8421876000.0,9657.0
2036,ssp126,0.109,Douro,0,3853582,0.0,3054160000.0,0.0
2036,ssp126,0.109,Grande Lisboa,4049,1869180,0.00216619,75526356000.0,163604477.0
2036,ssp126,0.109,Lezíria do Tejo,714,5770151,0.00012374,4573917000.0,565978.0
2036,ssp126,0.109,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2036,ssp126,0.109,Oeste,132,3003380,4.395e-05,6490912000.0,285279.0
2036,ssp126,0.109,Península de Setúbal,1054,2178612,0.00048379,13176454000.0,6374693.0
2036,ssp126,0.109,Região de Aveiro,6089,2335224,0.00260746,8691000000.0,22661423.0
2036,ssp126,0.109,Região de Coimbra,5222,5944890,0.0008784,9133907000.0,8023237.0
2036,ssp126,0.109,Região de Leiria,1,3339196,3e-07,6490351000.0,1944.0
2036,ssp126,0.109,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2036,ssp126,0.109,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2036,ssp126,0.109,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2036,ssp126,0.109,Área Metropolitana do Porto,29,2835070,1.023e-05,39710799000.0,406203.0
2037,ssp126,0.1155,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2037,ssp126,0.1155,Alentejo Litoral,4003,7057470,0.0005672,3133737000.0,1777457.0
2037,ssp126,0.1155,Algarve,2910,6576139,0.00044251,11984171000.0,5303102.0
2037,ssp126,0.1155,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2037,ssp126,0.1155,Alto Minho,63,3118798,2.02e-05,4151610000.0,83863.0
2037,ssp126,0.1155,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2037,ssp126,0.1155,Ave,0,2028246,0.0,8045336000.0,0.0
2037,ssp126,0.1155,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2037,ssp126,0.1155,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2037,ssp126,0.1155,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2037,ssp126,0.1155,Cávado,2,1744158,1.15e-06,8421876000.0,9657.0
2037,ssp126,0.1155,Douro,0,3853582,0.0,3054160000.0,0.0
2037,ssp126,0.1155,Grande Lisboa,4338,1869180,0.0023208,75526356000.0,175281852.0
2037,ssp126,0.1155,Lezíria do Tejo,769,5770151,0.00013327,4573917000.0,609575.0
2037,ssp126,0.1155,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2037,ssp126,0.1155,Oeste,138,3003380,4.595e-05,6490912000.0,298246.0
2037,ssp126,0.1155,Península de Setúbal,1137,2178612,0.00052189,13176454000.0,6876685.0
2037,ssp126,0.1155,Região de Aveiro,6498,2335224,0.0027826,8691000000.0,24183598.0
2037,ssp126,0.1155,Região de Coimbra,5546,5944890,0.0009329,9133907000.0,8521040.0
2037,ssp126,0.1155,Região de Leiria,1,3339196,3e-07,6490351000.0,1944.0
2037,ssp126,0.1155,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
