section,section_type,scenario,year,variant,slr_m,return_period_yr,events_per_year,days_per_event,closure_days_yr
Mondego Valley (km 240–244),railway,SSP2-4.5,2036,Baseline,0.16,1.32,0.758,6.6,5.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2036,+Geoid,0.31,0.47,2.144,8.1,17.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2037,Baseline,0.17,1.23,0.812,6.7,5.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2037,+Geoid,0.32,0.44,2.297,8.2,18.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2038,Baseline,0.18,1.15,0.871,6.8,5.9
Mondego Valley (km 240–244),railway,SSP2-4.5,2038,+Geoid,0.33,0.41,2.462,8.3,20.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2039,Baseline,0.19,1.07,0.933,6.9,6.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2039,+Geoid,0.34,0.38,2.639,8.4,22.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2040,Baseline,0.2,1.0,1.0,7.0,7.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2040,+Geoid,0.35,0.35,2.828,8.5,24.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2041,Baseline,0.21,0.93,1.072,7.1,7.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2041,+Geoid,0.36,0.33,3.031,8.6,26.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2042,Baseline,0.22,0.87,1.149,7.2,8.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2042,+Geoid,0.37,0.31,3.249,8.7,28.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2043,Baseline,0.23,0.81,1.231,7.3,9.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2043,+Geoid,0.38,0.29,3.482,8.8,30.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2044,Baseline,0.24,0.76,1.32,7.4,9.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2044,+Geoid,0.39,0.27,3.732,8.9,33.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2045,Baseline,0.25,0.71,1.414,7.5,10.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2045,+Geoid,0.4,0.25,4.0,9.0,36.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2046,Baseline,0.26,0.66,1.516,7.6,11.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2046,+Geoid,0.41,0.23,4.287,9.1,39.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2047,Baseline,0.27,0.62,1.625,7.7,12.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2047,+Geoid,0.42,0.22,4.595,9.2,42.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2048,Baseline,0.28,0.57,1.741,7.8,13.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2048,+Geoid,0.43,0.2,4.925,9.3,45.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2049,Baseline,0.29,0.54,1.866,7.9,14.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2049,+Geoid,0.44,0.19,5.278,9.4,49.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2050,Baseline,0.3,0.5,2.0,8.0,16.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2050,+Geoid,0.45,0.18,5.657,9.5,53.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2051,Baseline,0.306,0.48,2.085,8.1,16.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2051,+Geoid,0.456,0.17,5.897,9.6,56.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2052,Baseline,0.312,0.46,2.173,8.1,17.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2052,+Geoid,0.462,0.16,6.148,9.6,59.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2053,Baseline,0.318,0.44,2.266,8.2,18.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2053,+Geoid,0.468,0.16,6.409,9.7,62.0
