section,lat,lon,elev_m,flood_zone
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.973647,-8.86296,1.369,Alverca / Vila Franca de Xira (events: 2026)
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.967798,-8.848113,1.375,Alverca / Vila Franca de Xira (events: 2026)
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.964991,-8.857536,1.376,Alverca / Vila Franca de Xira (events: 2026)
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.983013,-8.886971,1.38,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.973803,-8.877681,1.398,Alverca / Vila Franca de Xira (events: 2026)
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.97935,-8.880459,1.415,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.986011,-8.896868,1.442,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.970335,-8.866065,1.449,Alverca / Vila Franca de Xira (events: 2026)
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.982923,-8.88706,1.454,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.978105,-8.881644,1.468,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.990591,-8.908149,1.468,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.977586,-8.876817,1.469,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.98539,-8.89625,1.483,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.979711,-8.877962,1.489,"Carregado / Azambuja (events: 2022, 2026)"
